"Date","Price","Open","High","Low","Change %"
"Aug 10, 2018","21.5782","21.5455","21.7847","21.4557","0.14%"
"Aug 09, 2018","21.5471","21.4539","21.6538","21.4123","0.47%"
"Aug 08, 2018","21.4468","21.4097","21.5080","21.3417","0.18%"
"Aug 07, 2018","21.4084","21.3909","21.4475","21.3434","0.06%"
"Aug 06, 2018","21.3959","21.4814","21.5086","21.3465","-0.36%"
"Aug 05, 2018","21.4738","21.4709","21.4783","21.4601","0.05%"
"Aug 03, 2018","21.4624","21.6019","21.6861","21.4453","-0.66%"
"Aug 02, 2018","21.6047","21.6754","21.8054","21.5861","-0.32%"
"Aug 01, 2018","21.6736","21.8051","21.8824","21.6654","-0.59%"
"Jul 31, 2018","21.8023","21.7041","21.8647","21.6755","0.46%"
"Jul 30, 2018","21.7023","21.7121","21.8008","21.6526","-0.04%"
"Jul 29, 2018","21.7119","21.7190","21.7190","21.6976","-0.02%"
"Jul 27, 2018","21.7159","21.6907","21.7725","21.5939","0.14%"
"Jul 26, 2018","21.6859","21.8936","21.9496","21.6655","-0.95%"
"Jul 25, 2018","21.8943","22.0580","22.1019","21.8783","-0.77%"
"Jul 24, 2018","22.0637","22.0845","22.1696","21.9946","-0.06%"
"Jul 23, 2018","22.0769","22.3020","22.4357","22.0509","-1.17%"
"Jul 22, 2018","22.3377","22.3180","22.3447","22.3104","0.19%"
"Jul 20, 2018","22.2962","22.1840","22.4286","22.1382","0.51%"
"Jul 19, 2018","22.1840","21.9888","22.2274","21.9487","0.87%"
"Jul 18, 2018","21.9916","22.0257","22.1519","21.9183","-0.16%"
"Jul 17, 2018","22.0275","22.0291","22.2325","21.9563","-0.05%"
"Jul 16, 2018","22.0382","22.0589","22.1338","21.9966","-0.18%"
"Jul 15, 2018","22.0774","22.0829","22.0940","22.0480","0.01%"
"Jul 13, 2018","22.0751","22.1595","22.2128","21.9955","-0.36%"
"Jul 12, 2018","22.1538","22.2817","22.3124","21.9322","-0.54%"
"Jul 11, 2018","22.2734","22.2423","22.3823","22.1632","0.20%"
"Jul 10, 2018","22.2279","22.5821","22.6197","22.1725","-1.58%"
"Jul 09, 2018","22.5853","22.3404","22.5962","22.3159","0.75%"
"Jul 08, 2018","22.4168","22.3892","22.4275","22.3640","0.29%"
"Jul 06, 2018","22.3519","22.4744","22.5907","22.3193","-0.50%"
"Jul 05, 2018","22.4642","22.6693","22.7625","22.4057","-0.91%"
"Jul 04, 2018","22.6714","22.6794","22.8069","22.5875","-0.04%"
"Jul 03, 2018","22.6805","23.2301","23.3221","22.6712","-2.34%"
"Jul 02, 2018","23.2243","23.2008","23.4437","22.8825","0.39%"
"Jul 01, 2018","23.1334","23.2701","23.2821","23.0503","-0.60%"
"Jun 29, 2018","23.2736","22.8159","23.3443","22.7789","2.02%"
"Jun 28, 2018","22.8117","23.3141","23.3519","22.7767","-2.16%"
"Jun 27, 2018","23.3143","23.2360","23.3693","23.1229","0.30%"
"Jun 26, 2018","23.2445","23.2751","23.3667","23.0812","-0.17%"
"Jun 25, 2018","23.2848","23.3284","23.5520","23.2680","-0.39%"
"Jun 24, 2018","23.3753","23.3451","23.3835","23.3335","0.19%"
"Jun 22, 2018","23.3315","23.5992","23.7110","23.3206","-1.07%"
"Jun 21, 2018","23.5843","23.5548","23.6800","23.4702","0.10%"
"Jun 20, 2018","23.5606","23.7977","23.8224","23.5571","-0.96%"
"Jun 19, 2018","23.7891","23.8367","23.9858","23.7044","-0.20%"
"Jun 18, 2018","23.8376","23.9468","24.1176","23.8169","-0.61%"
"Jun 17, 2018","23.9837","23.9067","24.0002","23.9053","0.15%"
"Jun 15, 2018","23.9488","24.1682","24.3098","23.9228","-0.91%"
"Jun 14, 2018","24.1682","24.3407","24.4334","23.9761","-0.70%"
"Jun 13, 2018","24.3395","24.3292","24.4609","24.2383","0.03%"
"Jun 12, 2018","24.3311","24.2639","24.3483","24.1735","0.26%"
"Jun 11, 2018","24.2668","23.8703","24.2839","23.8460","1.23%"
"Jun 10, 2018","23.9718","23.9457","23.9718","23.9172","0.40%"
"Jun 08, 2018","23.8767","24.1645","24.3026","23.8287","-1.18%"
"Jun 07, 2018","24.1626","23.9047","24.3873","23.8910","1.09%"
"Jun 06, 2018","23.9014","23.9791","24.1004","23.8328","-0.31%"
"Jun 05, 2018","23.9756","23.4949","23.9914","23.4632","2.08%"
"Jun 04, 2018","23.4870","23.2280","23.5052","23.2218","0.92%"
"Jun 03, 2018","23.2733","23.2488","23.2733","23.2398","0.08%"
"Jun 01, 2018","23.2542","23.2868","23.3443","23.1104","-0.12%"
"May 31, 2018","23.2829","23.0122","23.3998","23.0005","1.20%"
"May 30, 2018","23.0076","22.8931","23.1393","22.8376","0.51%"
"May 29, 2018","22.8908","22.7750","22.9431","22.6734","0.50%"
"May 28, 2018","22.7768","22.7735","22.8618","22.6737","-0.25%"
"May 27, 2018","22.8340","22.8475","22.8617","22.8139","0.25%"
"May 25, 2018","22.7769","22.9422","22.9914","22.7250","-0.70%"
"May 24, 2018","22.9386","22.9708","23.2071","22.8894","-0.10%"
"May 23, 2018","22.9622","23.2900","23.4039","22.8324","-1.41%"
"May 22, 2018","23.2911","23.3717","23.4099","23.2117","-0.34%"
"May 21, 2018","23.3696","23.4635","23.5670","23.3362","-0.56%"
"May 18, 2018","23.5008","23.2888","23.5245","23.2226","0.96%"
"May 17, 2018","23.2776","23.1138","23.3015","23.0238","0.73%"
"May 16, 2018","23.1100","23.3136","23.4343","23.0893","-0.87%"
"May 15, 2018","23.3139","23.4035","23.5846","23.2736","-0.39%"
"May 14, 2018","23.4056","23.2008","23.4625","23.1091","0.88%"
"May 11, 2018","23.2013","22.9135","23.2244","22.8774","1.28%"
"May 10, 2018","22.9072","23.1855","23.2443","22.8755","-1.23%"
"May 09, 2018","23.1932","23.2262","23.3343","23.1228","-0.11%"
"May 08, 2018","23.2183","23.2081","23.3265","23.1478","0.04%"
"May 07, 2018","23.2083","23.0110","23.3052","22.9256","0.71%"
"May 04, 2018","23.0449","22.8753","23.0834","22.8301","0.84%"
"May 03, 2018","22.8530","22.8117","22.9675","22.7146","0.17%"
"May 02, 2018","22.8133","22.7267","22.9902","22.6560","0.37%"
"May 01, 2018","22.7282","22.6024","22.7808","22.5084","0.55%"
"Apr 30, 2018","22.6031","22.5631","22.7340","22.5571","0.09%"
"Apr 27, 2018","22.5836","22.7846","22.8103","22.5436","-0.83%"
"Apr 26, 2018","22.7718","22.9211","23.0145","22.6884","-0.65%"
"Apr 25, 2018","22.9204","23.0211","23.3121","22.8759","-0.44%"
"Apr 24, 2018","23.0219","23.1257","23.1425","22.9384","-0.46%"
"Apr 23, 2018","23.1288","22.7630","23.1441","22.7218","1.59%"
"Apr 20, 2018","22.7672","22.7746","22.9427","22.6824","-0.01%"
"Apr 19, 2018","22.7704","22.3822","22.8394","22.3438","1.73%"
"Apr 18, 2018","22.3837","22.3330","22.4296","22.2424","0.26%"
"Apr 17, 2018","22.3263","22.2900","22.3651","22.1419","0.13%"
"Apr 16, 2018","22.2980","22.2507","22.3842","22.2399","0.21%"
"Apr 13, 2018","22.2516","22.4290","22.4479","22.2490","-0.76%"
"Apr 12, 2018","22.4215","22.5474","22.5880","22.2660","-0.54%"
"Apr 11, 2018","22.5443","22.5707","22.7080","22.4929","-0.11%"
"Apr 10, 2018","22.5701","22.6145","22.7020","22.4674","-0.18%"
"Apr 09, 2018","22.6099","22.4402","22.6335","22.4128","0.65%"
"Apr 06, 2018","22.4646","22.2954","22.5540","22.2745","0.81%"
"Apr 05, 2018","22.2839","22.2229","22.3119","22.0886","0.27%"
"Apr 04, 2018","22.2232","22.3555","22.5223","22.1765","-0.59%"
"Apr 03, 2018","22.3545","22.4440","22.4852","22.2540","-0.42%"
"Apr 02, 2018","22.4481","22.3814","22.5902","22.3742","0.32%"
"Mar 30, 2018","22.3776","22.3784","22.4370","22.3508","0.03%"
"Mar 29, 2018","22.3700","22.5310","22.6005","22.3466","-0.70%"
"Mar 28, 2018","22.5285","22.7880","22.8594","22.4698","-1.18%"
"Mar 27, 2018","22.7980","22.8304","22.8759","22.7264","-0.08%"
"Mar 26, 2018","22.8160","22.8553","22.9282","22.7244","-0.26%"
"Mar 23, 2018","22.8761","22.9298","23.0602","22.8520","-0.21%"
"Mar 22, 2018","22.9241","22.7507","22.9774","22.6990","0.78%"
"Mar 21, 2018","22.7469","22.9758","22.9913","22.7111","-0.99%"
"Mar 20, 2018","22.9748","23.0689","23.1526","22.9517","-0.43%"
"Mar 19, 2018","23.0751","22.9542","23.2062","22.9461","0.46%"
"Mar 16, 2018","22.9688","23.0103","23.1420","22.9459","-0.18%"
"Mar 15, 2018","23.0093","22.9922","23.1356","22.9526","0.11%"
"Mar 14, 2018","22.9835","23.0535","23.0783","22.9169","-0.30%"
"Mar 13, 2018","23.0531","22.9291","23.1094","22.8621","0.55%"
"Mar 12, 2018","22.9261","22.9013","22.9895","22.8897","0.11%"
"Mar 09, 2018","22.9008","22.9788","23.0160","22.7648","-0.32%"
"Mar 08, 2018","22.9748","23.2383","23.2779","22.8978","-1.08%"
"Mar 07, 2018","23.2260","23.2447","23.4962","23.2030","-0.08%"
"Mar 06, 2018","23.2435","23.1870","23.3092","23.0587","0.24%"
"Mar 05, 2018","23.1870","23.1821","23.3478","23.1571","0.13%"
"Mar 02, 2018","23.1569","23.1040","23.3742","23.0794","0.19%"
"Mar 01, 2018","23.1123","22.9729","23.1698","22.9456","0.60%"
"Feb 28, 2018","22.9738","23.0659","23.0726","22.9244","-0.34%"
"Feb 27, 2018","23.0527","22.9953","23.0655","22.9382","0.20%"
"Feb 26, 2018","23.0072","22.8162","23.0400","22.7936","0.97%"
"Feb 23, 2018","22.7860","22.9459","22.9663","22.7709","-0.69%"
"Feb 22, 2018","22.9449","23.1317","23.1505","22.9449","-0.84%"
"Feb 21, 2018","23.1400","23.0893","23.1991","22.9318","0.26%"
"Feb 20, 2018","23.0810","22.9936","23.1161","22.9157","0.37%"
"Feb 19, 2018","22.9961","22.9837","23.0289","22.9020","0.09%"
"Feb 16, 2018","22.9747","23.1485","23.2456","22.9516","-0.70%"
"Feb 15, 2018","23.1377","23.1380","23.1664","23.0036","-0.01%"
"Feb 14, 2018","23.1408","23.0464","23.1468","22.9004","0.38%"
"Feb 13, 2018","23.0532","22.8657","23.0909","22.8388","0.82%"
"Feb 12, 2018","22.8668","22.9254","22.9836","22.8062","-0.11%"
"Feb 09, 2018","22.8917","23.1479","23.1814","22.8501","-1.08%"
"Feb 08, 2018","23.1420","23.0588","23.2417","22.9295","0.37%"
"Feb 07, 2018","23.0557","23.0323","23.1439","22.8524","0.13%"
"Feb 06, 2018","23.0262","23.2154","23.4550","22.9879","-0.86%"
"Feb 05, 2018","23.2249","23.1647","23.3672","23.0431","0.21%"
"Feb 02, 2018","23.1762","22.9596","23.2542","22.9191","0.97%"
"Feb 01, 2018","22.9546","23.0844","23.2154","22.8563","-0.64%"
"Jan 31, 2018","23.1030","23.2834","23.3238","23.0597","-0.76%"
"Jan 30, 2018","23.2798","23.0411","23.3043","23.0157","1.01%"
"Jan 29, 2018","23.0463","22.9716","23.1095","22.8831","0.38%"
"Jan 26, 2018","22.9595","23.0647","23.1717","22.9138","-0.45%"
"Jan 25, 2018","23.0637","22.9514","23.1394","22.7255","0.47%"
"Jan 24, 2018","22.9554","22.9973","23.0629","22.8513","-0.16%"
"Jan 23, 2018","22.9917","22.9065","23.1695","22.8956","0.36%"
"Jan 22, 2018","22.9090","22.8350","22.9798","22.7507","0.71%"
"Jan 19, 2018","22.7478","22.7721","22.8855","22.6911","-0.11%"
"Jan 18, 2018","22.7722","22.8058","22.9992","22.7240","-0.15%"
"Jan 17, 2018","22.8061","23.0169","23.1005","22.7283","-0.90%"
"Jan 16, 2018","23.0135","23.1149","23.1528","22.8831","-0.47%"
"Jan 15, 2018","23.1225","23.2274","23.2594","23.0355","-0.35%"
"Jan 12, 2018","23.2040","23.1960","23.3292","23.0459","0.08%"
"Jan 11, 2018","23.1863","23.0454","23.3941","22.9972","0.60%"
"Jan 10, 2018","23.0469","22.9666","23.2300","22.9188","0.36%"
"Jan 09, 2018","22.9653","23.0048","23.0815","22.9135","-0.18%"
"Jan 08, 2018","23.0066","23.0668","23.1168","22.9572","-0.30%"
"Jan 05, 2018","23.0748","23.2882","23.3961","23.0692","-0.88%"
"Jan 04, 2018","23.2785","23.2428","23.3894","23.1496","0.12%"
"Jan 03, 2018","23.2503","23.5572","23.5796","23.2249","-1.33%"
"Jan 02, 2018","23.5648","23.6218","23.6397","23.4263","-0.20%"
"Jan 01, 2018","23.6117","23.5895","23.6196","23.5738","0.14%"
"Dec 29, 2017","23.5797","23.5472","23.6824","23.4754","0.14%"
"Dec 28, 2017","23.5472","23.4075","23.6510","23.4075","0.60%"
"Dec 27, 2017","23.4075","23.5645","23.6349","23.3914","-0.64%"
"Dec 26, 2017","23.5592","23.4312","23.6249","23.1781","0.55%"
"Dec 25, 2017","23.4295","23.3707","23.4641","23.3664","0.13%"
"Dec 22, 2017","23.3992","23.1149","23.4261","23.0095","1.24%"
"Dec 21, 2017","23.1130","22.7943","23.1830","22.7943","1.37%"
"Dec 20, 2017","22.8010","22.7436","22.8958","22.7097","0.25%"
"Dec 19, 2017","22.7434","22.4812","22.7916","22.4424","1.17%"
"Dec 18, 2017","22.4814","22.4874","22.5282","22.3737","-0.03%"
"Dec 15, 2017","22.4872","22.5596","22.6543","22.4319","-0.32%"
"Dec 14, 2017","22.5596","22.4883","22.6520","22.3872","0.33%"
"Dec 13, 2017","22.4855","22.5100","22.5858","22.4448","-0.12%"
"Dec 12, 2017","22.5129","22.4294","22.5491","22.4162","0.37%"
"Dec 11, 2017","22.4294","22.2733","22.4639","22.2620","0.70%"
"Dec 08, 2017","22.2737","22.3400","22.3446","22.1903","-0.28%"
"Dec 07, 2017","22.3358","22.2602","22.4126","22.2294","0.37%"
"Dec 06, 2017","22.2543","22.1867","22.3199","22.1354","0.32%"
"Dec 05, 2017","22.1826","22.0790","22.2198","22.0324","0.44%"
"Dec 04, 2017","22.0844","22.1402","22.1923","22.0403","-0.29%"
"Dec 01, 2017","22.1481","22.1783","22.2712","22.1221","-0.14%"
"Nov 30, 2017","22.1783","21.9963","22.2439","21.9215","0.82%"
"Nov 29, 2017","21.9973","21.9540","22.0199","21.8859","0.18%"
"Nov 28, 2017","21.9577","22.1091","22.1837","21.9424","-0.70%"
"Nov 27, 2017","22.1122","22.1557","22.1798","22.0167","-0.22%"
"Nov 24, 2017","22.1609","22.0763","22.1930","22.0655","0.42%"
"Nov 23, 2017","22.0693","22.0394","22.1399","21.9998","0.14%"
"Nov 22, 2017","22.0386","22.0392","22.1643","21.9934","0.00%"
"Nov 21, 2017","22.0375","22.2787","22.3752","22.0266","-1.11%"
"Nov 20, 2017","22.2843","22.3027","22.3950","22.1956","-0.11%"
"Nov 17, 2017","22.3090","22.4355","22.5483","22.3021","-0.55%"
"Nov 16, 2017","22.4324","22.6917","22.7035","22.4032","-1.18%"
"Nov 15, 2017","22.6992","22.6135","22.8744","22.5831","0.38%"
